ID,BPAQ_Hostility_Label,BPAQ_VerbalAggression_Label,BPAQ_Anger_Label,BPAQ_PhysicalAggression_Label,
0,Normal / High,Normal / High,High,Normal / High,
1,High,Normal / High,High,High,
2,Normal / Low,Normal / High,Normal / Low,Normal / Low,
3,Normal / High,Normal / High,High,Normal / Low,
4,Low,Low,Normal / High,Normal / High,
5,Normal / High,Normal / Low,Normal / Low,Normal / Low,
6,Low,Normal / Low,High,Normal / High,   
7,Low,Normal / Low,Normal / Low,Low,                                                                                                                                                              
8,Low,Low,Normal / Low,Low,
9,High,High,High,High,
10,Normal / Low,Normal / Low,Normal / High,Low,
11,Low,High,Normal / High,Low,     
12,High,High,Normal / High,Low,            
13,Low,Low,Low,High,                                                                                                                                                                     
14,Normal / High,Normal / High,High,Normal / Low,
15,Low,High,Normal / High,Normal / High,
16,Normal / Low,Normal / Low,Normal / Low,Normal / High,
17,Normal / High,Normal / High,Normal / High,Normal / Low,
18,Normal / High,Normal / Low,Normal / Low,Normal / High,
19,High,High,High,High,
20,Low,Low,Normal / Low,Low,
21,Normal / High,Normal / High,Low,High,
22,Normal / High,High,High,High,
23,Normal / Low,Normal / Low,High,Normal / High,
24,High,Normal / High,Normal / Low,Normal / High,
25,High,High,High,High,
26,High,Normal / High,High,Normal / Low,
27,Normal / High,Normal / Low,Normal / High,High,
28,Normal / Low,Normal / High,Normal / Low,Low,
29,High,Low,Normal / Low,Normal / High,
30,Low,Normal / High,High,Normal / High,
31,Normal / Low,Low,Normal / Low,Low,
32,Normal / High,High,Normal / High,High,
33,Low,Low,High,Normal / High,
34,High,Normal / High,Normal / Low,Normal / High,
35,Normal / High,Normal / High,Normal / Low,Normal / Low,
36,High,Normal / Low,Normal / High,High,
37,Low,Low,Normal / High,Normal / Low,
38,Low,Low,Low,Normal / Low,
39,Normal / Low,Low,Normal / Low,Low,
40,Low,High,High,Normal / Low,
41,Normal / Low,Normal / High,Normal / Low,Normal / High,
42,Normal / Low,Low,Normal / Low,Low,
43,Low,Normal / Low,Normal / Low,Normal / Low,
44,Normal / High,Normal / Low,High,Normal / High,
45,High,High,Normal / High,High,
46,Normal / High,Normal / Low,Low,Low,
47,Normal / High,Low,Low,Normal / Low,
48,Low,Normal / High,High,Normal / High,
49,Low,Low,Low,Low,
50,High,High,High,Normal / High,
51,Normal / Low,Normal / High,Normal / Low,High,
52,Normal / Low,High,High,Normal / Low,
53,High,Normal / High,Normal / High,Normal / High,
54,High,Normal / High,High,Normal / High,
55,Normal / High,Normal / Low,Low,Normal / Low,
56,High,High,High,High,
57,Normal / Low,Low,Low,Low,
58,Normal / High,High,High,Normal / High,
59,Low,Low,Normal / Low,Low,
60,Low,Normal / Low,Normal / Low,High,
61,Low,Low,Low,Normal / Low,
62,Normal / Low,Low,Normal / Low,Low,
63,Normal / High,Low,Normal / Low,Low,
64,Normal / Low,Normal / High,Low,Normal / Low,
65,Low,Normal / High,Normal / Low,Normal / High,
66,Normal / High,Normal / High,Low,Normal / High,
67,Low,Low,Low,Low,
68,Low,Normal / High,Low,Low,
69,High,High,High,High,
70,Low,High,Normal / Low,Normal / High,
71,High,Normal / High,High,High,
72,Normal / High,Low,Normal / Low,Low,
73,Normal / Low,Normal / Low,Normal / Low,Normal / High,
74,Normal / High,Normal / Low,Normal / High,Normal / High,
75,Low,Low,Low,Low,
76,Low,Low,Normal / Low,Low,
77,High,High,High,Low,
78,Normal / High,Normal / Low,Low,High,
79,Normal / High,Low,Low,Low,
80,Normal / Low,Normal / High,Low,Low,
81,High,Normal / High,Normal / Low,Low,
82,Normal / Low,Low,Normal / Low,Low,
83,Normal / Low,Normal / Low,Normal / Low,Normal / Low,
84,Normal / Low,Normal / Low,Low,Normal / High,
85,Normal / Low,Low,Normal / Low,High,
86,Normal / High,Normal / Low,Normal / Low,Low,
87,Normal / High,Normal / Low,Normal / Low,High,
88,Normal / High,Normal / Low,Normal / High,Normal / Low,
89,High,High,Normal / High,High,
90,Low,Low,Normal / Low,Normal / High,
91,Normal / Low,Normal / High,Normal / High,Low,
92,High,Normal / High,High,Normal / High,
93,Low,Normal / Low,Normal / Low,Normal / Low,
94,Low,Low,Low,Low,
95,Normal / High,High,Normal / High,Normal / High,
96,Normal / Low,Normal / High,Normal / High,High,
97,Normal / Low,Low,Low,Low,
98,High,Normal / Low,Low,High,
99,Low,Low,Normal / Low,Low,
100,Low,High,High,High,
101,Low,Low,Normal / Low,Low,
102,Normal / High,Normal / High,High,Low,
103,Normal / High,Normal / Low,Low,Low,
104,High,Normal / High,Normal / High,High,
105,High,High,High,Normal / High,
106,Low,Low,Low,Low,
107,Normal / High,Low,Low,Low,
108,Low,Low,Low,Normal / Low,
109,Normal / Low,Normal / High,Normal / Low,Normal / Low,
110,Normal / High,Low,High,Normal / Low,
111,Normal / Low,Normal / High,Normal / High,Normal / High,
112,Low,Normal / Low,High,Normal / High,
113,Low,Normal / Low,Normal / Low,Normal / High,
114,Low,Normal / Low,Low,Low,
115,Normal / High,Low,Normal / High,Normal / High,
116,Normal / Low,Normal / High,Normal / High,Normal / Low,
117,Normal / Low,Low,Low,Low,
118,High,High,High,High,
119,Normal / Low,Low,Low,Low,
120,Low,Low,Normal / Low,Low,
121,Normal / High,Normal / Low,Normal / Low,Normal / Low,
122,Normal / High,Low,Low,Low,
123,Low,Normal / Low,Normal / Low,Normal / Low,
124,Normal / High,Normal / High,Normal / High,Normal / Low,
125,Normal / Low,Normal / Low,High,Low,
126,High,High,High,High,
127,Normal / High,Normal / Low,Normal / High,Normal / High,
128,Normal / Low,High,High,High,
129,Normal / High,High,High,High,
130,High,High,High,Normal / Low,
131,High,Normal / High,Low,Normal / Low,
132,Low,Normal / High,Normal / Low,Normal / High,
133,Low,Low,Normal / High,Low,
134,Normal / High,Normal / High,Normal / Low,Normal / High,
135,High,High,High,High,
136,Low,High,Normal / High,Normal / High,
137,Low,Low,Normal / Low,Low,
138,Normal / High,High,Normal / High,Low,
139,High,Normal / High,High,High,
140,Normal / High,Normal / High,Normal / High,Normal / High,
141,Low,Normal / Low,Normal / Low,Normal / Low,
142,Low,Low,Low,Low,
143,Normal / High,High,High,Normal / High,
144,Low,Low,Low,Low,
145,Low,Low,Normal / Low,Low,
146,Normal / Low,High,High,High,
147,High,Normal / Low,High,Normal / Low,
148,Normal / Low,Normal / High,Normal / Low,Normal / Low,
149,Low,Normal / High,Low,Normal / High,
150,Normal / Low,High,High,Normal / High,
151,Normal / High,Normal / High,Low,Normal / High,
152,High,Low,Low,Low,
153,Normal / Low,High,Normal / Low,Normal / Low,
154,Low,Normal / High,Normal / Low,Normal / High,
155,Low,Normal / Low,Low,Normal / Low,
156,Low,Low,Low,Low,
157,Low,Low,Low,Low,
158,Normal / Low,Normal / Low,Normal / Low,Low,
159,Normal / High,Normal / Low,Normal / Low,Normal / High,
160,Normal / High,High,High,Normal / High,
161,Normal / High,Low,Normal / High,Low,
162,Low,Low,Low,Normal / Low,
163,Low,Low,Low,Low,
164,Normal / High,Low,Normal / Low,Normal / Low,
165,High,High,High,Normal / High,
166,Low,Normal / Low,Normal / Low,Normal / High,
167,Normal / High,High,High,Normal / Low,
168,Normal / High,Normal / Low,Normal / Low,Low,
169,Low,Low,Low,Low,
170,Normal / High,Normal / High,Normal / High,Normal / High,
171,High,High,High,High,
172,Normal / Low,High,Low,High,
173,Normal / High,High,High,High,
174,Low,Normal / High,Normal / High,High,
175,Normal / Low,Normal / Low,Normal / Low,Normal / High,
176,Normal / High,Normal / Low,Low,Normal / Low,
177,Low,Normal / Low,Normal / Low,Normal / Low,
178,Low,Normal / High,Low,Normal / High,
179,Normal / High,Normal / High,Normal / High,Normal / High,
180,Normal / Low,Normal / High,Normal / Low,Normal / High,
181,Normal / High,Normal / High,High,Normal / Low,
182,Low,Normal / Low,Normal / Low,Normal / High,
183,Normal / Low,Normal / Low,High,Low,
184,Low,Low,Low,Low,
185,Normal / Low,Normal / Low,High,Normal / High,
186,Normal / High,Normal / High,Normal / Low,High,
187,Low,Normal / Low,Normal / Low,Low,
188,Normal / Low,Low,Low,Low,
189,Low,Normal / High,High,Low,
190,Normal / High,Normal / High,Normal / Low,Normal / High,
191,Low,Normal / High,Normal / Low,Low,
192,Normal / Low,High,Normal / Low,High,
193,High,Normal / Low,Normal / High,Normal / Low,
194,High,Low,Normal / High,Normal / High,
195,High,Normal / High,High,Low,
196,Normal / High,High,High,High,
197,Low,Low,Low,Low,
198,Normal / Low,Normal / Low,Normal / Low,Low,
199,High,High,High,High,
200,High,High,High,High,
201,Normal / High,Normal / High,Normal / High,High,
202,Normal / Low,Normal / High,Low,Normal / High,
203,Low,Low,Normal / Low,Low,
204,Normal / High,Normal / High,High,High,
205,Normal / High,High,High,Normal / Low,
206,Normal / Low,Normal / Low,Low,Low,
207,Normal / Low,Normal / High,Normal / Low,Low,
208,High,Normal / High,High,High,
209,Normal / High,High,High,Normal / High,
210,High,Normal / Low,Normal / High,Normal / Low,
211,Low,Low,Low,Low,
212,Normal / High,Normal / Low,Normal / Low,Normal / Low,
213,High,High,Normal / Low,High,
214,Low,Low,Low,Normal / Low,
215,Normal / Low,Low,Normal / High,Normal / High,
216,Low,Normal / Low,Normal / Low,Normal / Low,
217,Normal / High,Normal / High,Normal / High,Low,
218,High,High,High,High,
219,Normal / Low,Low,Low,Normal / High,
220,Normal / High,Normal / Low,Normal / Low,Normal / Low,
221,Normal / High,Low,Low,Normal / Low,
222,Normal / High,Normal / High,Normal / Low,Normal / Low,
223,Low,Low,Low,Normal / Low,
224,Normal / High,Normal / Low,Normal / Low,Normal / Low,
225,Normal / High,Normal / High,Normal / Low,Normal / Low,
226,High,Normal / High,Normal / High,Normal / High,
227,Normal / Low,Low,Low,Low,
228,Low,Normal / Low,Normal / Low,High,
229,High,Normal / High,Normal / High,High,
230,Normal / High,Normal / High,Normal / Low,Low,
231,Normal / High,Normal / Low,Normal / Low,Normal / Low,
232,High,High,High,Normal / High,
233,Normal / Low,Normal / Low,Low,High,
234,Low,Normal / Low,Low,Low,
235,Normal / High,Normal / High,Low,Low,
236,Normal / Low,Low,Low,Low,
237,Normal / Low,Normal / Low,Normal / High,Low,
238,Normal / High,Normal / High,High,Normal / High,
239,Low,Low,Low,Low,
240,Low,Low,Normal / Low,Low,
241,Normal / High,Normal / High,Low,Normal / Low,
242,Normal / High,High,Normal / Low,Normal / High,
243,Normal / High,High,Normal / High,High,
244,Low,Normal / Low,Normal / Low,Low,
245,Normal / High,Low,Low,Low,
246,High,High,High,Normal / High,
247,Normal / High,Low,Normal / High,Normal / High,
248,Low,Low,Normal / Low,High,
249,High,High,Normal / Low,Normal / High,
250,Low,Low,Low,Low,
251,Normal / Low,Low,Low,Low,
252,Low,Normal / Low,Normal / Low,Normal / Low,
253,High,Normal / High,Normal / High,High,
254,Normal / High,Normal / High,Normal / High,Normal / High,
255,Low,Low,Low,Normal / Low,
256,Low,Low,Normal / High,Low,
257,Low,Low,Normal / Low,Low,
258,Normal / High,Normal / High,High,Normal / Low,
259,High,Normal / Low,High,High,
260,Normal / High,Low,Normal / Low,Normal / Low,
261,Low,Normal / High,Low,Normal / High,
262,Normal / High,Low,Normal / Low,Low,
263,Normal / High,High,High,High,
264,Normal / High,Low,Normal / High,Low,
265,Normal / Low,Normal / High,Low,Low,
266,Low,Low,Normal / Low,Low,
267,Low,Normal / High,Low,Low,
268,Normal / Low,Normal / High,Normal / High,High,
269,Normal / High,High,Normal / High,Normal / High,
270,High,High,High,High,
271,Low,Low,Normal / Low,Normal / Low,
272,Low,Low,Low,Normal / High,
273,Low,Normal / Low,Low,Low,
274,High,Normal / High,Normal / Low,High,
275,High,High,High,Normal / High,
276,Low,Low,Low,Normal / Low,
277,Normal / High,Normal / High,Low,Normal / High,
278,Normal / High,Low,Low,Low,
279,Low,Low,Normal / High,Low,
280,Normal / High,Normal / Low,Normal / Low,Normal / Low,
281,Normal / Low,Low,Normal / Low,Low,
282,Low,High,Normal / Low,High,
283,High,Normal / High,High,High,
284,Low,Low,Low,Normal / High,
285,Normal / High,Normal / High,Normal / High,Normal / Low,
286,Normal / High,Normal / Low,Normal / Low,Low,
287,Normal / High,Normal / Low,High,Normal / High,
288,Normal / Low,Normal / Low,Low,Normal / Low,
289,Normal / High,High,High,Normal / Low,
290,High,Normal / High,Normal / High,Normal / High,
291,Low,Low,Low,Low,
292,High,Low,Normal / High,Normal / High,
293,High,High,Normal / High,High,
294,Low,Low,Normal / Low,Low,
295,Normal / High,High,Normal / Low,High,
296,Low,Normal / Low,Low,Normal / Low,
297,High,High,High,High,
298,Normal / Low,Low,Low,Normal / Low,
299,Low,Normal / Low,Normal / High,Normal / High,
300,Low,Normal / High,High,Normal / High,
301,Normal / High,Low,Low,Low,
302,High,High,High,High,
303,High,High,High,High,
304,Normal / High,Low,Normal / Low,Normal / Low,
305,Normal / High,Normal / High,Normal / Low,High,
306,Low,Normal / Low,Low,Normal / Low,
307,High,High,High,Normal / High,
308,Low,Low,Low,Low,
309,Low,Low,Low,Low,
310,Low,High,Normal / High,Normal / Low,
311,Low,Low,Normal / Low,Low,
